system,query,rank,gate_global_weight,sample_id,source_title,image_path,center_lon,center_lat,relevant,confidence,visible_evidence
gated_highres,river,1,0.5627003908157349,w250869652_US_21,An aerial image. It shows: Beautiful river scene.,/data/tessera_dataset/image-emb-text/images5/w250869652_US_21.jpg,-93.45685892162119,33.9613155580828,True,0.98,Dark water channel visibly winding through dense forest.
gated_highres,river,2,0.5627003908157349,a128476058_CH_19,An aerial image. It shows: Pond surrounded by natural water.,/data/tessera_dataset/image-emb-text/images3/a128476058_CH_19.jpg,8.794590656595751,47.351534029291216,True,0.87,A broad dark watercourse is visibly present between vegetated banks.
gated_highres,river,3,0.5627003908157349,a101086696_US_20,An aerial image. It shows: River flowing through the landscape.,/data/tessera_dataset/image-emb-text/images7/a101086696_US_20.jpg,-99.323660531089,48.603588735379844,True,0.99,Clearly visible meandering stream crossing green wetlands.
gated_highres,river,4,0.5627003908157349,w32926481_US_18,An aerial image. It shows: Beautiful river scene.,/data/tessera_dataset/image-emb-text/images6/w32926481_US_18.jpg,-69.93605093128672,43.95646661194178,True,0.97,Narrow dark river or stream visibly runs through the forest.
gated_highres,river,5,0.5627003908157349,w27517711_FI_21,An aerial image. It shows: Beautiful river scene.,/data/tessera_dataset/image-emb-text/images6/w27517711_FI_21.jpg,22.944004771385558,60.94516244984435,True,0.98,Broad brown river is clearly visible with tree-lined banks and nearby buildings.
gated_highres,river,6,0.5627003908157349,a23897709_FI_21,An aerial image. It shows: Pond with natural water.,/data/tessera_dataset/image-emb-text/images7/a23897709_FI_21.jpg,25.756804609367073,61.21878396214824,True,0.83,Large dark watercourse is visibly bounded by irregular vegetated banks.
gated_highres,river,7,0.5627003908157349,w315932392_US_21,An aerial image. It shows: Path on bridge.,/data/tessera_dataset/image-emb-text/images5/w315932392_US_21.jpg,-69.85200780484736,44.951603304842266,True,0.96,Clearly visible winding stream runs through wooded terrain.
gated_highres,river,8,0.5627003908157349,a164656394_US_20,An aerial image. It shows: River flowing through natural water landscape.,/data/tessera_dataset/image-emb-text/images6/a164656394_US_20.jpg,-93.90934436796705,29.97107282413054,True,0.99,Highly visible sinuous stream crosses open marshland.
gated_highres,river,9,0.5627003908157349,w714131384_US_21,An aerial image. It shows: Canal.,/data/tessera_dataset/image-emb-text/images7/w714131384_US_21.jpg,-119.30553695792723,46.26262505633676,False,0.96,"The dark winding strip has uniform paved texture and adjacent road infrastructure, indicating a road rather than a river."
gated_highres,river,10,0.5627003908157349,a59940460_US_17,An aerial image. It shows: River flowing through natural landscape.,/data/tessera_dataset/image-emb-text/images6/a59940460_US_17.jpg,-92.35228993601366,45.45232376165724,True,0.99,A clearly visible river meanders through fields and forest.
gated_highres,river,11,0.5627003908157349,w1133599265_US_21,An aerial image. It shows: Canal.,/data/tessera_dataset/image-emb-text/images5/w1133599265_US_21.jpg,-116.53034467706257,43.53052175019188,True,0.84,"A broad, curving dark-water channel is clearly visible."
gated_highres,river,12,0.5627003908157349,a71852314_US_19,An aerial image. It shows: River flowing through natural landscape.,/data/tessera_dataset/image-emb-text/images4/a71852314_US_19.jpg,-89.51173336752058,48.0579183650556,True,0.99,A prominent muddy river runs through the forested landscape.
