system,query,rank,gate_global_weight,sample_id,source_title,image_path,center_lon,center_lat,coarse_rank,relevance,confidence_x,visible_evidence_x,relevant,confidence_y,visible_evidence_y
gated_highres,river,1,0.5627003908157349,a40321120_US_17,An aerial image. It shows: Marsh wetland.,/data/tessera_dataset/image-emb-text/images2/a40321120_US_17.jpg,-75.08683015,39.82184835,37,4,0.99,"Prominent broad, continuous, winding water channel with multiple bends and vegetated banks dominates the image.",True,0.99,"A broad, winding dark-water channel runs through dense vegetation and marshy banks."
gated_highres,river,2,0.5627003908157349,a59940460_US_17,An aerial image. It shows: River flowing through natural landscape.,/data/tessera_dataset/image-emb-text/images6/a59940460_US_17.jpg,-92.35228993601366,45.45232376165724,10,4,0.99,"A long, continuous, winding river is unambiguously visible through fields, woodland, and riparian vegetation.",True,0.99,A clearly visible sinuous dark river channel passes between agricultural fields and wooded banks.
gated_highres,river,3,0.5627003908157349,a71852314_US_19,An aerial image. It shows: River flowing through natural landscape.,/data/tessera_dataset/image-emb-text/images4/a71852314_US_19.jpg,-89.51173336752058,48.0579183650556,12,4,0.99,"A wide, muddy, naturally meandering watercourse runs through dense forest.",True,0.99,"A wide muddy-brown, curving watercourse is visible through forest."
gated_highres,river,4,0.5627003908157349,a101086696_US_20,An aerial image. It shows: River flowing through the landscape.,/data/tessera_dataset/image-emb-text/images7/a101086696_US_20.jpg,-99.323660531089,48.60358873537984,3,4,0.98,"A continuous, strongly meandering natural river channel is plainly visible across open green terrain.",True,0.98,A narrow meandering dark channel with bends and vegetated banks is visible across grassland.
gated_highres,river,5,0.5627003908157349,w523868304_US_21,An aerial image. It shows: Beautiful river scene.,/data/tessera_dataset/image-emb-text/images4/w523868304_US_21.jpg,-114.0452854,48.4042638,99,4,0.99,"Wide, curving blue-green river is plainly visible between a pale gravel bar and forested bank.",True,0.96,A wide blue-green water channel with a sandy shoreline and forested bank is visible.
gated_highres,river,6,0.5627003908157349,w172368873_US_21,An aerial image. It shows: Beautiful river scene.,/data/tessera_dataset/image-emb-text/images6/w172368873_US_21.jpg,-70.1244387,44.6457136,76,4,0.99,"A broad, elongated brown water channel with exposed sediment bars and wooded banks is directly visible.",True,0.98,"A brown water channel runs vertically through the image, bordered by sandbars, trees, and grass."
gated_highres,river,7,0.5627003908157349,w54141290_US_20,An aerial image. It shows: Beautiful river scene.,/data/tessera_dataset/image-emb-text/images5/w54141290_US_20.jpg,-91.45641251215146,44.29210176924337,49,4,0.99,A wide muddy river forms a clear sweeping bend through dense green vegetation.,True,0.98,A broad muddy-brown river curves between densely vegetated banks.
gated_highres,river,8,0.5627003908157349,w28377843_US_21,An aerial image. It shows: Beautiful river scene.,/data/tessera_dataset/image-emb-text/images5/w28377843_US_21.jpg,-80.99401328150161,41.752461520602864,51,4,0.98,"Broad, continuous brown water channel with irregular forested banks.",True,0.98,"A brown, winding water channel is clearly visible through dense forest, including light-colored exposed bank material."
gated_highres,river,9,0.5627003908157349,w27517711_FI_21,An aerial image. It shows: Beautiful river scene.,/data/tessera_dataset/image-emb-text/images6/w27517711_FI_21.jpg,22.94400477138556,60.94516244984435,5,4,0.97,A broad brown river channel curves through a settled rural landscape with clearly defined vegetated banks.,True,0.98,"A broad brown river channel runs horizontally beside grassy land, trees, and nearby buildings."
gated_highres,river,10,0.5627003908157349,w662216410_US_21,An aerial image. It shows: Weir along the waterway.,/data/tessera_dataset/image-emb-text/images4/w662216410_US_21.jpg,-76.34362911642103,36.74319271277752,29,4,0.96,A large continuous water channel with distinct opposing banks and a visible structure spanning a tributary or inlet is unambiguously river-like.,True,0.97,"A wide dark water channel is visible alongside vegetation, a bridge or crossing, and nearby buildings."
gated_highres,river,11,0.5627003908157349,a186249161_US_19,"An aerial image. It shows: Water reservoir in golf course, serving as water hazard.",/data/tessera_dataset/image-emb-text/images6/a186249161_US_19.jpg,-80.00569807011115,40.67959833535525,48,3,0.91,"A broad brown watercourse crosses the image between vegetated banks, clearly consistent with a river reach.",True,0.98,"A broad, continuous brown water channel is visible along the upper portion, bordered by vegetation."
gated_highres,river,12,0.5627003908157349,w285171685_US_21,An aerial image. It shows: Weir along the waterway.,/data/tessera_dataset/image-emb-text/images6/w285171685_US_21.jpg,-83.6402944,41.040679,91,4,0.98,Broad brown river channel runs horizontally through the image between vegetated banks.,True,0.99,A wide brown water channel runs horizontally across the image between tree-lined banks.
gated_highres,river,13,0.5627003908157349,w800890863_US_20,An aerial image. It shows: Beautiful river scene.,/data/tessera_dataset/image-emb-text/images6/w800890863_US_20.jpg,-121.12242835701034,37.72417412819398,16,4,0.98,A natural dark watercourse with visible whitewater or rapids runs through dense trees.,True,0.98,"A dark, flowing watercourse with visible light ripples/rapids passes through dense forest."
gated_highres,river,14,0.5627003908157349,a43276912_US_21,An aerial image. It shows: Rapid whitewater waterway with rapids.,/data/tessera_dataset/image-emb-text/images2/a43276912_US_21.jpg,-80.92876455000001,36.85347355,98,4,0.98,"Clear natural river or stream with visible current, ripples, whitewater, and rocky vegetated banks.",True,0.97,A broad water surface with visible current patterns and whitewater occupies most of the image.
gated_highres,river,15,0.5627003908157349,w250869652_US_21,An aerial image. It shows: Beautiful river scene.,/data/tessera_dataset/image-emb-text/images5/w250869652_US_21.jpg,-93.4568589216212,33.9613155580828,1,3,0.91,"A clearly visible winding dark watercourse passes through dense forest, though its short visible extent makes river versus stream somewhat uncertain.",True,0.99,A dark branching river channel is clearly visible winding through dense trees.
gated_highres,river,16,0.5627003908157349,w315932392_US_21,An aerial image. It shows: Path on bridge.,/data/tessera_dataset/image-emb-text/images5/w315932392_US_21.jpg,-69.85200780484736,44.951603304842266,7,3,0.91,A winding dark watercourse with branching bends is clearly visible beneath dense tree cover.,True,0.99,"A narrow dark river bends through forested vegetation, with a crossing visible near the right side."
gated_highres,river,17,0.5627003908157349,w32926481_US_18,An aerial image. It shows: Beautiful river scene.,/data/tessera_dataset/image-emb-text/images6/w32926481_US_18.jpg,-69.93605093128672,43.95646661194178,4,3,0.92,A narrow continuous watercourse runs vertically through dense vegetation and wetland.,True,0.99,"A distinct dark, sinuous water channel separates vegetated banks."
