sample_id,system_first,query_first,rank_first,gate_global_weight_first,source_title_first,image_path_first,center_lon_first,center_lat_first,system_second,query_second,rank_second,gate_global_weight_second,source_title_second,image_path_second,center_lon_second,center_lat_second,balanced_rank,rank_sum,intersection_rank
n2691981237_US_19,gated_highres,ship,3,0.5920504927635193,An aerial image. It shows: Silo.,/data/tessera_dataset/image-emb-text/images4/n2691981237_US_19.jpg,-102.25830879662313,38.82723915549638,gated_highres,container,1,0.5913087129592896,An aerial image. It shows: Silo.,/data/tessera_dataset/image-emb-text/images4/n2691981237_US_19.jpg,-102.25830879662313,38.82723915549638,3,4,1
n431506525_CH_21,gated_highres,ship,4,0.5920504927635193,An aerial image. It shows: Car wash facility.,/data/tessera_dataset/image-emb-text/images2/n431506525_CH_21.jpg,8.183579383834996,47.61470946900755,gated_highres,container,12,0.5913087129592896,An aerial image. It shows: Car wash facility.,/data/tessera_dataset/image-emb-text/images2/n431506525_CH_21.jpg,8.183579383834996,47.61470946900755,12,16,2
n8910542760_CH_20,gated_highres,ship,22,0.5920504927635193,An aerial image. It shows: Waste disposal facility.,/data/tessera_dataset/image-emb-text/images5/n8910542760_CH_20.jpg,6.955801513368156,46.25429047249384,gated_highres,container,3,0.5913087129592896,An aerial image. It shows: Waste disposal facility.,/data/tessera_dataset/image-emb-text/images5/n8910542760_CH_20.jpg,6.955801513368156,46.25429047249384,22,25,3
n1473516583_CH_20,gated_highres,ship,35,0.5920504927635193,An aerial image. It shows: Railway level crossing.,/data/tessera_dataset/image-emb-text/images2/n1473516583_CH_20.jpg,6.5618113,46.5452069,gated_highres,container,34,0.5913087129592896,An aerial image. It shows: Railway level crossing.,/data/tessera_dataset/image-emb-text/images2/n1473516583_CH_20.jpg,6.5618113,46.5452069,35,69,4
a779832897_US_19,gated_highres,ship,14,0.5920504927635193,An aerial image. It shows: Building identified as silo.,/data/tessera_dataset/image-emb-text/images5/a779832897_US_19.jpg,-93.33232107304944,44.784057054043686,gated_highres,container,38,0.5913087129592896,An aerial image. It shows: Building identified as silo.,/data/tessera_dataset/image-emb-text/images5/a779832897_US_19.jpg,-93.33232107304944,44.784057054043686,38,52,5
a231289347_US_19,gated_highres,ship,50,0.5920504927635193,An aerial image. It shows: Warehouse.,/data/tessera_dataset/image-emb-text/images7/a231289347_US_19.jpg,-122.32882801043752,47.54217246447092,gated_highres,container,8,0.5913087129592896,An aerial image. It shows: Warehouse.,/data/tessera_dataset/image-emb-text/images7/a231289347_US_19.jpg,-122.32882801043752,47.54217246447092,50,58,6
n10196171031_US_20,gated_highres,ship,63,0.5920504927635193,An aerial image. It shows: Industrial warehouse.,/data/tessera_dataset/image-emb-text/images3/n10196171031_US_20.jpg,-121.35829337690689,38.37659344657747,gated_highres,container,21,0.5913087129592896,An aerial image. It shows: Industrial warehouse.,/data/tessera_dataset/image-emb-text/images3/n10196171031_US_20.jpg,-121.35829337690689,38.37659344657747,63,84,7
n9488922518_CH_19,gated_highres,ship,69,0.5920504927635193,An aerial image. It shows: Brown bench.,/data/tessera_dataset/image-emb-text/images3/n9488922518_CH_19.jpg,8.708268397487934,47.34935300268452,gated_highres,container,62,0.5913087129592896,An aerial image. It shows: Brown bench.,/data/tessera_dataset/image-emb-text/images3/n9488922518_CH_19.jpg,8.708268397487934,47.34935300268452,69,131,8
w544688930_US_21,gated_highres,ship,27,0.5920504927635193,An aerial image. It shows: Rail spur service.,/data/tessera_dataset/image-emb-text/images7/w544688930_US_21.jpg,-81.83081098074345,30.386887793641968,gated_highres,container,72,0.5913087129592896,An aerial image. It shows: Rail spur service.,/data/tessera_dataset/image-emb-text/images7/w544688930_US_21.jpg,-81.83081098074345,30.386887793641968,72,99,9
w7906216_US_21,gated_highres,ship,51,0.5920504927635193,An aerial image. It shows: Railway yard in service.,/data/tessera_dataset/image-emb-text/images7/w7906216_US_21.jpg,-88.04704972791441,30.719966149723984,gated_highres,container,73,0.5913087129592896,An aerial image. It shows: Railway yard in service.,/data/tessera_dataset/image-emb-text/images7/w7906216_US_21.jpg,-88.04704972791441,30.719966149723984,73,124,10
