system,query,rank,gate_global_weight,sample_id,source_title,image_path,center_lon,center_lat,coarse_rank,relevance,sol_confidence,sol_visible_evidence,relevant,terra_confidence,terra_visible_evidence
gated_highres,skatepark,1,0.553607702255249,a765600717_US_19,An aerial image. It shows: Karting raceway road for racing enthusiasts.,/data/tessera_dataset/image-emb-text/images4/a765600717_US_19.jpg,-93.51189059768868,45.166645218257145,70,2,0.73,"Clearly purpose-built continuous winding paved circuit with tight curves and shaped edges, plausibly a pump or skate track, but no unambiguous bowls, half-pipes, ramps, or rails are visible.",False,0.93,"A narrow winding looped track is visible, consistent with a pump or cycling track; no identifiable skate ramps, bowls, rails, or concrete skate layout are visible."
gated_highres,skatepark,2,0.553607702255249,a949525680_US_21,An aerial image. It shows: Park.,/data/tessera_dataset/image-emb-text/images7/a949525680_US_21.jpg,-111.78318145,33.26473515,4,3,0.84,A large circular bowl-like paved feature and several nearby angular ramp-like structures form a plausible purpose-built skate layout.,False,0.78,"The image shows circular dark surfaced areas and surrounding paths/landscaping, but no clearly identifiable skate bowls, ramps, rails, or continuous skatepark features."
gated_highres,skatepark,3,0.553607702255249,a700227459_US_19,An aerial image. It shows: Miniature golf leisure land.,/data/tessera_dataset/image-emb-text/images4/a700227459_US_19.jpg,-74.24042245000001,39.56241455,29,2,0.46,"Very blurry aerial view of a dense paved recreational area with numerous irregular pale features; a skate layout is plausible, but individual ramps, bowls, or rails cannot be identified confidently.",False,0.86,"A paved recreational/play area with scattered small features is visible, but the pixels do not clearly show purpose-built skate ramps, bowls, rails, or a skate layout."
gated_highres,skatepark,4,0.553607702255249,a858346991_US_21,An aerial image. It shows: Karting raceway with asphalt surface.,/data/tessera_dataset/image-emb-text/images2/a858346991_US_21.jpg,-73.88556913870802,40.58219659361377,25,2,0.75,"Purpose-built paved looping track with repeated tight curves, plausibly a pump or skate circuit, but no clearly identifiable bowls, half-pipes, rails, or conventional ramps.",True,0.98,"A clearly visible continuous concrete skate layout contains multiple connected curving channels, banks, and bowl-like ramp features."
gated_highres,skatepark,5,0.553607702255249,a695725240_US_20,An aerial image. It shows: Karting raceway.,/data/tessera_dataset/image-emb-text/images4/a695725240_US_20.jpg,-97.296093,27.6726549,31,3,0.82,"Purpose-built continuous winding paved layout with repeated tight curves and rounded sections, visually consistent with a skate or pump-style park.",False,0.95,"The visible light-colored winding circuit appears to be a pump/cycling track, without identifiable skatepark ramps, bowls, rails, or concrete skate features."
gated_highres,skatepark,6,0.553607702255249,n370382804_CH_20,An aerial image. It shows: Bench.,/data/tessera_dataset/image-emb-text/images3/n370382804_CH_20.jpg,6.835473114491515,46.46136077017971,82,1,0.73,"A large circular paved or basin-like feature is visible, but it lacks clearly identifiable skate transitions, ramps, rails, or a connected skate layout.",False,0.99,"A large circular structure or basin is visible among trees, with no identifiable skate ramps, bowls, rails, or continuous skate layout."
gated_highres,skatepark,7,0.553607702255249,n2528590628_US_21,An aerial image. It shows: Disc golf course on leisure land.,/data/tessera_dataset/image-emb-text/images5/n2528590628_US_21.jpg,-96.9178847,46.8306974,85,3,0.89,A dedicated rectangular concrete pad visibly contains several separated ramp- or obstacle-like structures consistent with a small skatepark.,False,0.97,"The image shows open grass, a rectangular court or enclosure, paved areas, and small playground-like equipment; no skatepark structures are visible."
gated_highres,skatepark,8,0.553607702255249,a346728340_US_20,An aerial image. It shows: Playground area for leisure land.,/data/tessera_dataset/image-emb-text/images4/a346728340_US_20.jpg,-86.34062850434901,37.46356131013393,15,2,0.58,"Small paved pad contains several low geometric objects that could be skate obstacles, but resolution is insufficient to identify ramps or rails clearly.",False,0.96,"A small recreational/playground area and nearby buildings/paths are visible, but no identifiable skate ramps, bowls, rails, or continuous skate layout are present."
gated_highres,skatepark,9,0.553607702255249,a894952265_US_20,An aerial image. It shows: Recreation ground designated for BMX sports.,/data/tessera_dataset/image-emb-text/images3/a894952265_US_20.jpg,-85.64820215402486,44.6496658334557,38,2,0.66,"A purpose-built looping paved or compacted course with tight curves and interior islands is visible, plausibly a pump-style riding layout, but no clear bowls, ramps, rails, or other definitive skatepark elements can be resolved.",False,0.95,"Several elongated dirt or gravel loops/tracks are visible in a wooded clearing, consistent with a riding or track area rather than a skatepark; no skate features are identifiable."
gated_highres,skatepark,10,0.553607702255249,a507429536_US_19,An aerial image. It shows: Fenced dog park area for leisure land.,/data/tessera_dataset/image-emb-text/images4/a507429536_US_19.jpg,-82.20256873224045,33.45685824919387,1,2,0.68,"A smooth paved loop with curved ends is visible, but no clearly identifiable bowls, half-pipes, rails, or skate ramps can be confirmed.",False,0.93,"A narrow triangular looping paved track is visible beside roads and trees, but no identifiable skate ramps, bowls, rails, or continuous concrete skatepark layout are visible."
gated_highres,skatepark,11,0.553607702255249,n370382915_CH_20,An aerial image. It shows: Bench for seating.,/data/tessera_dataset/image-emb-text/images6/n370382915_CH_20.jpg,6.8395161,46.4595418,81,2,0.65,"Small paved area contains an L-shaped low concrete feature and several narrow edge-like structures, plausibly skate obstacles, but no clearly identifiable ramp, bowl, or continuous skate layout.",False,0.98,"Paved pedestrian paths and a small paved corner are visible; no identifiable skate ramps, bowls, rails, or continuous skate layout."
